
 CASO : 263 -> ['X2', 'X1', 'X1', 'X4', 'X1', 'X4']


 CASO : 264 -> ['X2', 'X1', 'X1', 'X4', 'X2', 'X1']


 CASO : 265 -> ['X2', 'X1', 'X1', 'X4', 'X2', 'X2']


 CASO : 266 -> ['X2', 'X1', 'X1', 'X4', 'X2', 'X4']


 CASO : 267 -> ['X2', 'X1', 'X1', 'X4', 'X4', 'X1']


 CASO : 268 -> ['X2', 'X1', 'X1', 'X4', 'X4', 'X2']


 CASO : 269 -> ['X2', 'X1', 'X1', 'X4', 'X4', 'X4']


 CASO : 270 -> ['X2', 'X1', 'X2', 'X1', 'X1', 'X1']


 CASO : 271 -> ['X2', 'X1', 'X2', 'X1', 'X1', 'X2']


 CASO : 272 -> ['X2', 'X1', 'X2', 'X1', 'X1', 'X4']


 CASO : 273 -> ['X2', 'X1', 'X2', 'X1', 'X2', 'X1']


 CASO : 274 -> ['X2', 'X1', 'X2', 'X1', 'X2', 'X2']


 CASO : 275 -> ['X2', 'X1', 'X2', 'X1', 'X2', 'X4']


 CASO : 276 -> ['X2', 'X1', 'X2', 'X1', 'X4', 'X1']


 CASO : 277 -> ['X2', 'X1', 'X2', 'X1', 'X4', 'X2']


 CASO : 278 -> ['X2', 'X1', 'X2', 'X1', 'X4', 'X4']


 CASO : 279 -> ['X2', 'X1', 'X2', 'X2', 'X1', 'X1']


 CASO : 280 -> ['X2', 'X1', 'X2', 'X2', 'X1', 'X2']


 CASO : 281 -> ['X2', 'X1', 'X2', 'X2', 'X1', 'X4']


 CASO : 282 -> ['X2', 'X1', 'X2', 'X2', 'X2', 'X1']


 CASO : 283 -> ['X2', 'X1', 'X2', 'X2', 'X2', 'X2']


 CASO : 284 -> ['X2', 'X1', 'X2', 'X2', 'X2', 'X4']


 CASO : 285 -> ['X2', 'X1', 'X2', 'X2', 'X4', 'X1']


 CASO : 286 -> ['X2', 'X1', 'X2', 'X2', 'X4', 'X2']


 CASO : 287 -> ['X2', 'X1', 'X2', 'X2', 'X4', 'X4']


 CASO : 288 -> ['X2', 'X1', 'X2', 'X4', 'X1', 'X1']


 CASO : 289 -> ['X2', 'X1', 'X2', 'X4', 'X1', 'X2']


 CASO : 290 -> ['X2', 'X1', 'X2', 'X4', 'X1', 'X4']


 CASO : 291 -> ['X2', 'X1', 'X2', 'X4', 'X2', 'X1']


 CASO : 292 -> ['X2', 'X1', 'X2', 'X4', 'X2', 'X2']


 CASO : 293 -> ['X2', 'X1', 'X2', 'X4', 'X2', 'X4']


 CASO : 294 -> ['X2', 'X1', 'X2', 'X4', 'X4', 'X1']


 CASO : 295 -> ['X2', 'X1', 'X2', 'X4', 'X4', 'X2']


 CASO : 296 -> ['X2', 'X1', 'X2', 'X4', 'X4', 'X4']


 CASO : 297 -> ['X2', 'X1', 'X4', 'X1', 'X1', 'X1']


 CASO : 298 -> ['X2', 'X1', 'X4', 'X1', 'X1', 'X2']


 CASO : 299 -> ['X2', 'X1', 'X4', 'X1', 'X1', 'X4']


 CASO : 300 -> ['X2', 'X1', 'X4', 'X1', 'X2', 'X1']


 CASO : 301 -> ['X2', 'X1', 'X4', 'X1', 'X2', 'X2']


 CASO : 302 -> ['X2', 'X1', 'X4', 'X1', 'X2', 'X4']


